# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/steven/github/StevenAerts/ftdi_morphic/quartus/ftdi_morphic_pins.csv
# Generated on: Mon Dec 11 03:34:31 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clk50,Input,PIN_H1,1,B1_N0,PIN_H1,,,,
io[79],Bidir,PIN_E16,3,B3_N0,PIN_B11,,,,
io[78],Bidir,PIN_E14,3,B3_N0,PIN_M3,,,,
io[77],Bidir,PIN_D16,3,B3_N0,PIN_F16,,,,
io[76],Bidir,PIN_D15,3,B3_N0,PIN_P4,,,,
io[75],Bidir,PIN_A14,2,B2_N0,PIN_R4,,,,
io[74],Bidir,PIN_B14,2,B2_N0,PIN_L8,,,,
io[73],Bidir,PIN_A13,2,B2_N0,PIN_M11,,,,
io[72],Bidir,PIN_B13,2,B2_N0,PIN_P5,,,,
io[71],Bidir,PIN_A12,2,B2_N0,PIN_P14,,,,
io[70],Bidir,PIN_B12,2,B2_N0,PIN_D6,,,,
io[69],Bidir,PIN_G16,3,B3_N0,PIN_A6,,,,
io[68],Bidir,PIN_J12,3,B3_N0,PIN_T5,,,,
io[67],Bidir,PIN_C14,3,B3_N0,PIN_F9,,,,
io[66],Bidir,PIN_J11,3,B3_N0,PIN_K16,,,,
io[65],Bidir,PIN_G13,3,B3_N0,PIN_L9,,,,
io[64],Bidir,PIN_G12,3,B3_N0,PIN_H13,,,,
io[63],Bidir,PIN_D14,3,B3_N0,PIN_R8,,,,
io[62],Bidir,PIN_H13,3,B3_N0,PIN_N14,,,,
io[61],Bidir,PIN_D13,3,B3_N0,PIN_T13,,,,
io[60],Bidir,PIN_F15,3,B3_N0,PIN_R11,,,,
io[59],Bidir,PIN_F16,3,B3_N0,PIN_L7,,,,
io[58],Bidir,PIN_K16,3,B3_N1,PIN_R10,,,,
io[57],Bidir,PIN_L15,3,B3_N1,PIN_B7,,,,
io[56],Bidir,PIN_L16,3,B3_N1,PIN_A13,,,,
